,applicant_id,race,gender,application_date,application_recieved,application_evaluation,certificate,mananger_review_data,interview_date,offer_date
34,91,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
35,93,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
36,76,asian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
37,113,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
38,115,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
39,135,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
40,136,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
41,137,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
42,138,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
43,139,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
44,140,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
45,141,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
46,142,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
47,143,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
48,144,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
49,145,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
50,146,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
51,147,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
52,148,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
53,149,native hawaiian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
54,134,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
55,114,native american,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
56,133,native american,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
57,131,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
58,116,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
59,117,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
60,118,native hawaiian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
61,119,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
62,120,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
63,121,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
64,122,asian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
65,123,native hawaiian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
66,124,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
67,125,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
68,126,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
69,127,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
70,128,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
71,129,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
72,130,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
73,132,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
74,75,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
75,112,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
76,73,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
77,19,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
78,21,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
79,22,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
80,23,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
81,24,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
82,25,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
83,26,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
84,27,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
85,28,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
86,29,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
87,30,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
88,31,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
89,32,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
90,33,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
91,34,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
92,18,asian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
93,35,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
94,17,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
95,15,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
96,74,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
97,1,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
98,2,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
99,3,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
100,4,asian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
101,5,hispanic,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
102,6,native american,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
103,7,native hawaiian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
104,8,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
105,9,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
106,10,native american,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
107,11,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
108,12,white,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
109,13,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
110,14,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
111,16,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
112,36,black,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
113,20,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
114,71,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
115,57,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
116,58,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
117,59,hispanic,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
118,60,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
119,61,hispanic,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
120,63,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
121,64,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
122,65,asian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
123,66,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
124,67,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
125,68,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
126,69,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
127,70,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
128,37,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
129,72,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
130,56,hispanic,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
131,55,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
132,62,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
133,53,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
134,38,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
135,54,asian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
136,40,native hawaiian,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
137,41,hispanic,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
138,42,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
139,43,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
140,44,hispanic,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
141,45,white,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
142,39,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
143,47,white,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,None,None,None
144,48,native hawaiian,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
145,49,hispanic,male,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,None
146,50,native hawaiian,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
147,51,black,other,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
148,52,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,None,None
149,46,native american,female,2019-08-01,2019-08-06,2019-08-15,2019-08-16,2019-08-16,2019-08-27,2019-08-29
150,246,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
151,247,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
152,248,black,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
153,249,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
154,250,native american,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
155,251,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
156,252,black,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
157,256,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
158,254,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
159,255,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
160,257,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
161,258,hispanic,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
162,259,native american,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
163,260,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
164,245,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
165,253,black,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
166,244,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
167,227,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
168,242,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
169,261,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
170,228,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
171,229,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
172,230,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
173,231,black,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
174,232,black,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
175,233,hispanic,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
176,234,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
177,235,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
178,236,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
179,237,native american,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
180,238,asian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
181,239,white,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
182,240,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
183,241,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
184,243,white,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
185,262,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
186,299,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
187,264,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
188,285,native american,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
189,286,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
190,287,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
191,288,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
192,289,hispanic,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
193,290,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
194,291,asian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
195,292,hispanic,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
196,293,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
197,294,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
198,295,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
199,296,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
200,297,black,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
201,298,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
202,226,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
203,284,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
204,283,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
205,282,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
206,281,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
207,265,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
208,266,native american,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
209,267,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
210,268,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
211,269,native american,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
212,270,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
213,271,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
214,263,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
215,272,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
216,274,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
217,275,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
218,276,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
219,277,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
220,278,black,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
221,279,black,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
222,280,native american,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
223,273,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
224,225,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
225,187,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
226,223,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
227,168,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
228,170,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
229,171,native american,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
230,172,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
231,173,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
232,174,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
233,175,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
234,176,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
235,177,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
236,178,black,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
237,179,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
238,180,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
239,181,asian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
240,182,native hawaiian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
241,183,white,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
242,167,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
243,184,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
244,166,black,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
245,164,white,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
246,224,white,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
247,150,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
248,151,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
249,152,native hawaiian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
250,153,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
251,154,asian,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
252,155,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
253,156,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
254,157,black,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
255,158,hispanic,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,None
256,159,white,female,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
257,160,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
258,161,white,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
259,162,native american,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
260,163,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
261,165,native hawaiian,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
262,185,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,None,None
263,169,hispanic,other,2019-08-02,2019-08-07,2019-08-16,2019-08-19,2019-08-19,2019-08-30,2019-09-03
264,221,asian,male,2019-08-02,2019-08-07,2019-08-16,2019-08-19,None,None,None
